port,name,description,wellknown,common
684,corba-iiop-ssl,CORBA IIOP SSL,1,0
685,mdc-portmapper,MDC Port Mapper,1,0
686,hcp-wismar,Hardware Control Protocol Wismar,1,0
687,asipregistry,asipregistry,1,1
688,realm-rusd,ApplianceWare managment protocol,1,0
689,nmap,NMAP,1,0
690,vatp,Velneo Application Transfer Protocol,1,0
691,msexch-routing,MS Exchange Routing,1,1
692,hyperwave-isp,Hyperwave-ISP,1,0
693,connendp,almanid Connection Endpoint,1,0
694,ha-cluster,ha-cluster,1,0
695,ieee-mms-ssl,IEEE-MMS-SSL,1,0
696,rushd,RUSHD,1,0
697,uuidgen,UUIDGEN,1,0
698,olsr,OLSR,1,0
699,accessnetwork,Access Network,1,0
700,epp,Extensible Provisioning Protocol,1,1
701,lmp,Link Management Protocol (LMP),1,0
702,iris-beep,IRIS over BEEP,1,0
704,elcsd,errlog copy/server daemon,1,0
705,agentx,AgentX,1,1
706,silc,SILC,1,0
707,borland-dsj,Borland DSJ,1,0
709,entrust-kmsh,Entrust Key Management Service Handler,1,0
710,entrust-ash,Entrust Administration Service Handler,1,0
711,cisco-tdp,Cisco TDP,1,1
712,tbrpf,TBRPF,1,0
713,iris-xpc,IRIS over XPC,1,0
714,iris-xpcs,IRIS over XPCS,1,1
715,iris-lwz,IRIS-LWZ,1,0
729,netviewdm1,IBM NetView DM/6000 Server/Client,1,0
730,netviewdm2,IBM NetView DM/6000 send/tcp,1,0
731,netviewdm3,IBM NetView DM/6000 receive/tcp,1,0
741,netgw,netGW,1,0
742,netrcs,Network based Rev. Cont. Sys.,1,0
744,flexlm,Flexible License Manager,1,0
747,fujitsu-dev,Fujitsu Device Control,1,0
748,ris-cm,Russell Info Sci Calendar Manager,1,0
749,kerberos-adm,kerberos administration,1,1
750,rfile,,1,0
751,pump,,1,0
752,qrh,,1,0
753,rrh,,1,0
754,tell,send,1,0
758,nlogin,,1,0
759,con,,1,0
760,ns,,1,0
761,rxe,,1,0
762,quotad,,1,0
763,cycleserv,,1,0
764,omserv,,1,0
765,webster,,1,1
767,phonebook,phone,1,0
769,vid,,1,0
770,cadlock,,1,0
771,rtip,,1,0
772,cycleserv2,,1,0
773,submit,,1,0
774,rpasswd,,1,0
775,entomb,,1,0
776,wpages,,1,0
777,multiling-http,Multiling HTTP,1,1
780,wpgs,,1,0
800,mdbs_daemon,,1,1
801,device,,1,1
802,mbap-s,Modbus Application Protocol Secure,1,0
810,fcp-udp,FCP,1,0
828,itm-mcell-s,itm-mcell-s,1,0
829,pkix-3-ca-ra,PKIX-3 CA/RA,1,0
830,netconf-ssh,NETCONF over SSH,1,0
831,netconf-beep,NETCONF over BEEP,1,0
832,netconfsoaphttp,NETCONF for SOAP over HTTPS,1,0
833,netconfsoapbeep,NETCONF for SOAP over BEEP,1,0
847,dhcp-failover2,dhcp-failover 2,1,0
848,gdoi,GDOI,1,0
853,domain-s,DNS query-response protocol run over TLS/DTLS,1,0
854,dlep,Dynamic Link Exchange Protocol (DLEP),1,0
860,iscsi,iSCSI,1,0
861,owamp-control,OWAMP-Control,1,0
862,twamp-control,TWAMP-Control,1,0
873,rsync,rsync,1,1
886,iclcnet-locate,ICL coNETion locate server,1,0
887,iclcnet_svinfo,ICL coNETion server info,1,0
888,cddbp,CD Database Protocol,1,1
900,omginitialrefs,OMG Initial Refs,1,1
901,smpnameres,SMPNAMERES,1,1
902,ideafarm-door,self documenting Telnet Door,1,1
903,ideafarm-panic,self documenting Telnet Panic Door,1,1
