asn,name
1852,University of California - Office of the President
1855,RTX BBN Technologies Inc.
1856,RTX BBN Technologies Inc.
1857,RTX BBN Technologies Inc.
1858,RTX BBN Technologies Inc.
1859,RTX BBN Technologies Inc.
1904,DoD Network Information Center
1906,Northrop Grumman
1908,DoD Network Information Center
1909,San Diego Supercomputer Center
1911,DoD Network Information Center
1924,Unified Industries Inc.
1929,University of Massachusetts - Amherst
1932,Consolidated Edison Co. of New York Inc.
1958,NCR Corporation
1959,DoD Network Information Center
1965,Vistra Corporate Services Company
1968,UMASSNET
1970,Texas A&M University
1974,Southern Maine Medical Center
1975,ProQuest LLC
1982,Northwest Nexus Inc.
1983,Bernalillo County
1996,Fairdinkum Consulting LLC
1998,State of Minnesota
1999,U.S. House of Representatives
2000,Internet Awareness Inc.
2001,Ecolab Inc.
2002,Kyndryl
2003,Electric Power Research Institute
2011,Wells Fargo & Company
2013,PG&E
2015,Msen Inc.
2019,JPMorgan Chase & Co.
2020,Adhesives Research Inc.
2021,Unisys Corporation
2024,Eversource Energy
2025,University of Toledo
2030,The Boeing Company
2031,American Water Works Company Inc.
2033,Panix
2034,Northrop Grumman Corp.
2037,California State University at Fresno
2041,St. Norbert College
2044,Digital Fortress
2046,DoD Network Information Center
2048,State of Louisiana Office of Technology Services
2055,Louisiana State University
2140,Kyndryl
2143,National Aeronautics and Space Administration
2145,Cougar Wireless
2149,Cogent Communications
2152,CENIC
2153,CENIC
2154,HP Inc.
2165,HP Inc.
2173,HP Inc.
2274,Congressional Budget Office
2379,CenturyLink Communications LLC
2381,WiscNet
2384,Architect of the Capitol
2386,AT&T Enterprises LLC
2491,Rogers Communications Canada Inc.
2495,Kansas Research and Education Network
2496,University of Kansas
2532,Library of Congress
2534,Hoffmann Laroche Inc.
2535,BP America Inc.
2539,GlaxoSmithKline
2544,King County Gov
2552,Washington University
2553,Florida State University
2559,Visa International Service Association
2562,Texas Instruments Incorporated
2564,Texas General Land Office
2565,Quantum Loophole Inc.
2567,Schlumberger Limited
2568,Digicom
2571,DHL Information Services (Europe) S.R.O
2572,University of Missouri - dba the Missouri Research and Education Network (MOREnet)
2574,Teacher Retirement System of Texas
2575,Salt River Project Agricultural Improvement & Power District
2576,U. S. Department of Transportation
2577,DoD Network Information Center
2579,Nokia of America Corporation
2581,U.S. Government Accountability Office
2615,Bechtel Corporation
2621,DoD Network Information Center
2631,Discovery Communications
2633,National Academy of Sciences
2635,Automattic Inc
2636,Louisville and Jefferson County Metropolitan Sewer District
2637,Georgia Institute of Technology
2639,Zoho
2640,Ames Laboratory
2641,The Scripps Research Institute
2642,California Department of Technology
2645,The Commnet Project
2646,Synaptics Incorporated
2648,National Oceanic and Atmospheric Administration
2650,Executive Office of the President
2665,Shared Services Canada
2667,Shared Services Canada
2675,Shared Services Canada
2680,Shared Services Canada
2682,Shared Services Canada
2685,AT&T Enterprises LLC
2686,AT&T Enterprises LLC
2687,AT&T Enterprises LLC
2688,AT&T Enterprises LLC
2695,RJ Reynolds Tobacco Company
2698,Iowa State University of Science and Technology
2700,Claris International Inc.
2701,Kansas State University
2703,Data-Prompt Inc.
2705,BJC Health System
2707,First Communications LLC
2710,CGI Inc.
2711,Spirit Communications
2712,Halliburton Company
2714,General Services Administration
2719,Panzura Inc
2720,Parked.com Ltd
2721,Culr LLC
2722,Culr LLC
2723,Endurance Reinsurance Corporation of America
2725,Berkeley Educational Services of New Jersey Inc.
2726,Webformix
2727,Electric Plant Board of the City of Glasgow Kentucky
2728,GigSouth LLC
2729,One Call
2731,Infinity Fiber LLC
2732,Valliant Telephone Co INC
2733,Addrex Inc
2734,CoreSite
2735,Eastern Irrigation District
2738,Shields Health Care Group
2740,Caribbean Cable Communications
2749,Navy Network Information Center (NNIC)
2754,El Paso Natural Gas Company L.L.C.
2763,Palo Alto Networks Inc
2768,The County of Erie
2769,State of Nebraska / Office of the Cio
2824,Deutsche Bank AG
2826,General Dynamics Mission Systems Inc.
2828,Verizon Business
2881,Rensselaer Hartford Graduate Center
2886,Anton Kapela Sole Proprietorship
2894,California Department of Water Resources
2896,Genesys Telecommunications LaboratoriesInc.
2897,Georgia Technology Authority
2899,Involta
2900,Arizona Tri University Network
2901,OSO Grande Technologies Inc.
2902,University of Wyoming
2903,Madison-Oneida BOCES
2906,Netflix Streaming Services Inc.
2909,Citigroup Inc.
2912,Citigroup Inc.
2914,NTT America Inc.
2920,Los Angeles County Office of Education
2923,TIAA-CREF
2924,Equifax Inc.
2927,Zone One Network Exchange
2928,Burlington Coat Factory Warehouse
2931,Baird Information Systems
2932,News Electronic Data Inc.
2933,Real/Time Communications
2934,Texas Health and Human Services Commission
2936,National Energy Research Scientific Computing Center
2939,State of South Carolina
2941,OnePartner LLC
3042,Lachman Technology Inc.
3043,Amphibian Media Corporation
3054,First Floor Inc.
3060,York Technical College
3061,ProvDotnet LLC
3064,Ntirety Inc.
3065,NYCenet/Information Resources Unit
3073,Citigroup Inc.
3081,Citigroup Inc.
3112,Oarnet
3113,U.S. Department of Commerce
3114,Department of Justice
3115,Infotex of Iowa
3127,Caprica Telecomputing Resources
3128,University of Wisconsin System
3131,Tele-Media Solutions
3133,U.S. Dept. of Health and Human Services
3136,State of Wi Dept. of Administration
3140,The Thomas Jefferson High School for Science and Tech.
3143,U.S. Department of Veterans Affairs
3144,Heptasky LLC
3145,Refinitiv US LLC
3147,U.S. Bancorp
3152,Fermi National Accelerator Laboratory (Fermilab)
3153,Federal Emergency Management Agency
3354,University of Texas System
3356,Level 3 Parent LLC
3359,University of Alberta
3360,DXC US Latin America Corporation
3361,Digital Fortress Inc.
3362,Data Transfer Group
3364,Computer Systems Design Company
3365,Seesip Inc.
3366,A2I Communications
3367,Xplore Inc.
3369,Verizon Business
3371,Verizon Business
3372,Verizon Business
3373,Verizon Business
3374,Verizon Business
3375,Verizon Business
3376,Verizon Business
3377,Verizon Business
3378,Verizon Business
3379,Kaiser Foundation Health Plan Inc.
3380,Princeton Plasma Physics Laboratory
3381,Maui High Performance Computing Center
3384,Center for Educational Leadership and Technology
3387,U.S. Department of State
3388,University of New Mexico
3389,Ford Motor Company
3390,University of Missouri - Kansas City
3392,Gannett Media Technologies International
3396,T G & A
3400,Powerdog Industries
3401,City of Seattle Dept. of Admin. Services
3402,Butterfly Research
3404,Earthnet Inc.
3408,Rainbow Media Holdings LLC
3409,Callvox
3410,Cornell College
3411,St. Michael's Hospital
3423,AT&T Enterprises LLC
3424,National Nuclear Security Administration Kansas City Plant
3425,ESnet
3428,ESNET-AS
3431,ESNET-AS
3443,ESNET-AS
3446,State of Kansas
3450,University of Tennessee
3452,University of Alabama at Birmingham
3455,Liberty Mutual Group
3456,Charter Communications Inc
3457,Oracle Corporation
3458,Volkswagen Group of America Inc.
3459,South Texas Blood and Tissue Center
3464,Alabama Supercomputer Authority
3465,J. B. Hunt Transport Inc.
3470,DoD Network Information Center
3471,DoD Network Information Center
3472,DoD Network Information Center
3474,DoD Network Information Center
3477,National Oceanic and Atmospheric Administration
3478,State of Indiana
3479,Board of Regents of the University System of Georgia
3480,Board of Regents of the University System of Georgia
3481,State of Connecticut
3482,State of Montana
3483,Sprint
3485,Mizuho Americas Services LLC
3486,JPMorgan Chase & Co.
3491,PCCW Global Inc.
3495,US Senate
3501,USDA
3502,Intelligence Network Online Inc.
3503,Software Maintenance Specialists Inc.
3512,Emory University
3514,Aureon Network Services
3515,RTX BBN Technologies Inc.
3525,Unfi
3527,National Institutes of Health
3529,DoD Network Information Center
3549,Level 3 Parent LLC
3553,Commonwealth of Virginia
3554,Holland America Line
3555,AT&T Technical Services Company Inc.
3557,Internet Systems Consortium Inc.
3560,Technetix Inc.
3561,CenturyLink Communications LLC
3562,Sandia National Laboratories
3565,Prisma Health
3566,Jriver Inc.
3568,Wais Inc.
3570,FMC Corporation
3571,Ernst & Young LLP
3573,Accenture LLP
3576,Hodgson Russ LLP
3577,Vestas American Wind Technology
3578,DSCI LLC
3579,Databank Inc.
